Id,Label,Weight,color,Type
65,Lightning Bolt,2.6939655172413796e-05,A,Directed
66,Hugh Masekela,2.6939655172413796e-05,A,Directed
67,Cowboy Troy,2.6939655172413796e-05,A,Directed
68,The Drifters,2.6939655172413796e-05,A,Directed
69,Deftones,2.6939655172413796e-05,A,Directed
70,Captain Beyond,2.6939655172413796e-05,A,Directed
71,Junior Kimbrough,2.6939655172413796e-05,A,Directed
72,Whitney Houston,2.6939655172413796e-05,A,Directed
73,Billie Holiday,2.6939655172413796e-05,A,Directed
74,Company,2.6939655172413796e-05,A,Directed
75,Teddy Pendergrass,2.6939655172413796e-05,A,Directed
76,Boys Don't Cry,2.6939655172413796e-05,A,Directed
77,The Smiths,2.6939655172413796e-05,A,Directed
78,Lata Mangeshkar,2.6939655172413796e-05,A,Directed
79,BJ the Chicago Kid,2.6939655172413796e-05,A,Directed
80,Toro y Moi,2.6939655172413796e-05,A,Directed
81,Rev Theory,2.6939655172413796e-05,A,Directed
82,Vanessa Bell Armstrong,2.6939655172413796e-05,A,Directed
83,Third Eye Blind,2.6939655172413796e-05,A,Directed
84,Car Seat Headrest,2.6939655172413796e-05,A,Directed
85,Mighty Sparrow,2.6939655172413796e-05,A,Directed
86,Old Crow Medicine Show,2.6939655172413796e-05,A,Directed
87,Graham Central Station,2.6939655172413796e-05,A,Directed
88,Antonio Aguilar,2.6939655172413796e-05,A,Directed
89,Beulah,2.6939655172413796e-05,A,Directed
90,Leif Garrett,2.6939655172413796e-05,A,Directed
91,Donnie McClurkin,2.6939655172413796e-05,A,Directed
92,The Motels,2.6939655172413796e-05,A,Directed
93,The Beatles,2.6939655172413796e-05,A,Directed
94,Daniel Johnston,2.6939655172413796e-05,A,Directed
95,Ben Lee,2.6939655172413796e-05,A,Directed
96,Michael Bolton,2.6939655172413796e-05,A,Directed
97,McBride & the Ride,2.6939655172413796e-05,A,Directed
98,Entombed,2.6939655172413796e-05,A,Directed
99,Gawvi,2.6939655172413796e-05,A,Directed
100,Ruby Braff,2.6939655172413796e-05,A,Directed
101,Was (Not Was),2.6939655172413796e-05,A,Directed
102,Dar Williams,2.6939655172413796e-05,A,Directed
103,Laidback Luke,2.6939655172413796e-05,A,Directed
104,Johnny Gill,2.6939655172413796e-05,A,Directed
105,Amel Larrieux,2.6939655172413796e-05,A,Directed
106,Simple Plan,2.6939655172413796e-05,A,Directed
107,Chris Lane,2.6939655172413796e-05,A,Directed
108,Camila,2.6939655172413796e-05,A,Directed
109,King Sunny Ade,2.6939655172413796e-05,A,Directed
110,Emmanuel,2.6939655172413796e-05,A,Directed
111,The Gap Band,2.6939655172413796e-05,A,Directed
112,Kandi,2.6939655172413796e-05,A,Directed
113,Blue Mountain,2.6939655172413796e-05,A,Directed
114,Joss Stone,2.6939655172413796e-05,A,Directed
115,Atlas Sound,2.6939655172413796e-05,A,Directed
116,Richard Adler,2.6939655172413796e-05,A,Directed
117,blink-182,2.6939655172413796e-05,A,Directed
118,The Byrds,2.6939655172413796e-05,A,Directed
119,APB,2.6939655172413796e-05,A,Directed
120,Crystal Waters,2.6939655172413796e-05,A,Directed
121,Major Lazer,2.6939655172413796e-05,A,Directed
122,*NSYNC,2.6939655172413796e-05,A,Directed
123,The Go! Team,2.6939655172413796e-05,A,Directed
124,The Bobby Fuller Four,2.6939655172413796e-05,A,Directed
125,Bon Jovi,2.6939655172413796e-05,A,Directed
126,Herman's Hermits,2.6939655172413796e-05,A,Directed
127,Hubert Sumlin,2.6939655172413796e-05,A,Directed
128,Manfred Mann's Earth Band,2.6939655172413796e-05,A,Directed
129,Paul Weston,2.6939655172413796e-05,A,Directed
130,Massive Attack,2.6939655172413796e-05,A,Directed
131,Morphine,2.6939655172413796e-05,A,Directed
132,Katy Perry,2.6939655172413796e-05,A,Directed
133,David Morales,2.6939655172413796e-05,A,Directed
134,"10,000 Maniacs",2.6939655172413796e-05,A,Directed
135,Chet Baker,2.6939655172413796e-05,A,Directed
136,Dire Straits,2.6939655172413796e-05,A,Directed
137,Sonny Stitt,2.6939655172413796e-05,A,Directed
138,Vetiver,2.6939655172413796e-05,A,Directed
139,John Coltrane Quartet,2.6939655172413796e-05,A,Directed
140,Powderfinger,2.6939655172413796e-05,A,Directed
141,Zack de la Rocha,2.6939655172413796e-05,A,Directed
142,Aaron Tippin,2.6939655172413796e-05,A,Directed
143,Leonard Rosenman,2.6939655172413796e-05,A,Directed
144,Blake Shelton,2.6939655172413796e-05,A,Directed
145,Porno for Pyros,2.6939655172413796e-05,A,Directed
146,Yellow Magic Orchestra,2.6939655172413796e-05,A,Directed
147,Skid Row,2.6939655172413796e-05,A,Directed
148,Brian Tyler,2.6939655172413796e-05,A,Directed
149,Vanessa Williams,2.6939655172413796e-05,A,Directed
150,Tea Leaf Green,2.6939655172413796e-05,A,Directed
151,The Abyssinians,2.6939655172413796e-05,A,Directed
152,Michael Jackson,2.6939655172413796e-05,A,Directed
153,The Chocolate Watchband,2.6939655172413796e-05,A,Directed
154,Susannah McCorkle,2.6939655172413796e-05,A,Directed
155,Oscar D'LeÃ³n,2.6939655172413796e-05,A,Directed
156,Dance Hall Crashers,2.6939655172413796e-05,A,Directed
157,The Soul Survivors,2.6939655172413796e-05,A,Directed
158,Love and Rockets,2.6939655172413796e-05,A,Directed
159,Romare,2.6939655172413796e-05,A,Directed
160,Gary Numan,2.6939655172413796e-05,A,Directed
161,Maria BethÃ¢nia,2.6939655172413796e-05,A,Directed
162,John Tesh,2.6939655172413796e-05,A,Directed
163,Chuckii Booker,2.6939655172413796e-05,A,Directed
164,Brigitte Bardot,2.6939655172413796e-05,A,Directed
165,Keith Richards,2.6939655172413796e-05,A,Directed
166,DÃ³ris Monteiro,2.6939655172413796e-05,A,Directed
167,The Dresden Dolls,2.6939655172413796e-05,A,Directed
168,Alan Silvestri,2.6939655172413796e-05,A,Directed
169,Hellogoodbye,2.6939655172413796e-05,A,Directed
170,Todd Snider,2.6939655172413796e-05,A,Directed
171,JosÃ© Alfredo JimÃ©nez,2.6939655172413796e-05,A,Directed
172,The Verve,2.6939655172413796e-05,A,Directed
173,Jimmy Yancey,2.6939655172413796e-05,A,Directed
174,Ram Jam,2.6939655172413796e-05,A,Directed
175,Loudon Wainwright III,2.6939655172413796e-05,A,Directed
176,Beny MorÃ©,2.6939655172413796e-05,A,Directed
177,Finger Eleven,2.6939655172413796e-05,A,Directed
178,Free,2.6939655172413796e-05,A,Directed
179,Peabo Bryson,2.6939655172413796e-05,A,Directed
180,John Taylor,2.6939655172413796e-05,A,Directed
181,Bee Gees,2.6939655172413796e-05,A,Directed
182,Thomas Dolby,2.6939655172413796e-05,A,Directed
183,Laura Bell Bundy,2.6939655172413796e-05,A,Directed
184,EdÃº Lobo,2.6939655172413796e-05,A,Directed
185,Robert Klein,2.6939655172413796e-05,A,Directed
186,Rebecca Lynn Howard,2.6939655172413796e-05,A,Directed
187,Randy VanWarmer,2.6939655172413796e-05,A,Directed
188,Matt Bianco,2.6939655172413796e-05,A,Directed
189,Dexter Gordon,2.6939655172413796e-05,A,Directed
190,Buddy Greco,2.6939655172413796e-05,A,Directed
191,John Waite,2.6939655172413796e-05,A,Directed
192,Cartel,2.6939655172413796e-05,A,Directed
193,Laura Marling,2.6939655172413796e-05,A,Directed
194,Disclosure,2.6939655172413796e-05,A,Directed
195,Percy Heath,2.6939655172413796e-05,A,Directed
196,Corey Hart,2.6939655172413796e-05,A,Directed
197,Little May,2.6939655172413796e-05,A,Directed
198,Kaskade,2.6939655172413796e-05,A,Directed
199,John Stewart,2.6939655172413796e-05,A,Directed
200,Thomas Newman,2.6939655172413796e-05,A,Directed
201,Betty Davis,2.6939655172413796e-05,A,Directed
202,Selena Gomez,2.6939655172413796e-05,A,Directed
203,The Association,2.6939655172413796e-05,A,Directed
204,Loose Ends,2.6939655172413796e-05,A,Directed
205,Bolt Thrower,2.6939655172413796e-05,A,Directed
206,Rahsaan Roland Kirk,2.6939655172413796e-05,A,Directed
207,Rockwell,2.6939655172413796e-05,A,Directed
208,Felix da Housecat,2.6939655172413796e-05,A,Directed
209,Adiemus,2.6939655172413796e-05,A,Directed
210,The Weepies,2.6939655172413796e-05,A,Directed
211,Kid Loco,2.6939655172413796e-05,A,Directed
212,Stanley Jordan,2.6939655172413796e-05,A,Directed
213,Masters of Reality,2.6939655172413796e-05,A,Directed
214,Matchbox Twenty,2.6939655172413796e-05,A,Directed
215,Wet,2.6939655172413796e-05,A,Directed
216,Gnarls Barkley,2.6939655172413796e-05,A,Directed
217,Joey Dee,2.6939655172413796e-05,A,Directed
218,Pete Johnson,2.6939655172413796e-05,A,Directed
219,Mary Chapin Carpenter,2.6939655172413796e-05,A,Directed
220,Otis Clay,2.6939655172413796e-05,A,Directed
221,The Whites,2.6939655172413796e-05,A,Directed
222,Bowery Electric,2.6939655172413796e-05,A,Directed
223,Pat Travers,2.6939655172413796e-05,A,Directed
224,Edgar Winter,2.6939655172413796e-05,A,Directed
225,Jane Birkin,2.6939655172413796e-05,A,Directed
226,Dave Dudley,2.6939655172413796e-05,A,Directed
227,Texas,2.6939655172413796e-05,A,Directed
228,Circle Jerks,2.6939655172413796e-05,A,Directed
229,We the Kings,2.6939655172413796e-05,A,Directed
230,Dub Pistols,2.6939655172413796e-05,A,Directed
231,Frank Sinatra,2.6939655172413796e-05,A,Directed
232,Guaco,2.6939655172413796e-05,A,Directed
233,Bootsy Collins,2.6939655172413796e-05,A,Directed
234,L7,2.6939655172413796e-05,A,Directed
235,The Durutti Column,2.6939655172413796e-05,A,Directed
236,Rodrigo Amarante,2.6939655172413796e-05,A,Directed
237,Los Panchos,2.6939655172413796e-05,A,Directed
238,Terri Clark,2.6939655172413796e-05,A,Directed
239,Soulive,2.6939655172413796e-05,A,Directed
240,Teddy Riley,2.6939655172413796e-05,A,Directed
241,Anvil,2.6939655172413796e-05,A,Directed
242,Ladysmith Black Mambazo,2.6939655172413796e-05,A,Directed
243,Soul II Soul,2.6939655172413796e-05,A,Directed
244,Big Black,2.6939655172413796e-05,A,Directed
245,Larry Norman,2.6939655172413796e-05,A,Directed
246,Tab Hunter,2.6939655172413796e-05,A,Directed
247,Paolo Conte,2.6939655172413796e-05,A,Directed
248,Steve Howe,2.6939655172413796e-05,A,Directed
249,The Clancy Brothers,2.6939655172413796e-05,A,Directed
250,Luke Bryan,2.6939655172413796e-05,A,Directed
251,Ziggy Marley & the Melody Makers,2.6939655172413796e-05,A,Directed
252,The Cover Girls,2.6939655172413796e-05,A,Directed
253,Kodomo,2.6939655172413796e-05,A,Directed
254,Alicia Villarreal,2.6939655172413796e-05,A,Directed
255,Adrian Marcel,2.6939655172413796e-05,A,Directed
256,Los del Rio,2.6939655172413796e-05,A,Directed
257,Hudson Mohawke,2.6939655172413796e-05,A,Directed
258,The Easybeats,2.6939655172413796e-05,A,Directed
259,The RH Factor,2.6939655172413796e-05,A,Directed
260,The Doors,2.6939655172413796e-05,A,Directed
261,Bennie Maupin,2.6939655172413796e-05,A,Directed
262,Elvis Costello,2.6939655172413796e-05,A,Directed
263,ZAYN,2.6939655172413796e-05,A,Directed
264,Michael Card,2.6939655172413796e-05,A,Directed
265,Jaguares,2.6939655172413796e-05,A,Directed
266,A Taste of Honey,2.6939655172413796e-05,A,Directed
267,Rose Royce,2.6939655172413796e-05,A,Directed
268,Ugly Casanova,2.6939655172413796e-05,A,Directed
269,Clarence Clemons,2.6939655172413796e-05,A,Directed
270,Andrew W.K.,2.6939655172413796e-05,A,Directed
271,Black Kids,2.6939655172413796e-05,A,Directed
272,Kaki King,2.6939655172413796e-05,A,Directed
273,Kiss,2.6939655172413796e-05,A,Directed
274,JosÃ© Feliciano,2.6939655172413796e-05,A,Directed
275,Eels,2.6939655172413796e-05,A,Directed
276,Armin van Buuren,2.6939655172413796e-05,A,Directed
277,Steve Jablonsky,2.6939655172413796e-05,A,Directed
278,The Jayhawks,2.6939655172413796e-05,A,Directed
279,The Hooters,2.6939655172413796e-05,A,Directed
280,Jan Hammer,2.6939655172413796e-05,A,Directed
281,Bobby Vee,2.6939655172413796e-05,A,Directed
282,The Runaways,2.6939655172413796e-05,A,Directed
283,Information Society,2.6939655172413796e-05,A,Directed
284,Little River Band,2.6939655172413796e-05,A,Directed
285,Bob Moses,2.6939655172413796e-05,A,Directed
286,SisqÃ³,2.6939655172413796e-05,A,Directed
287,Joe Ely,2.6939655172413796e-05,A,Directed
288,Kevin Ayers,2.6939655172413796e-05,A,Directed
289,Rage Against the Machine,2.6939655172413796e-05,A,Directed
290,Amos Milburn,2.6939655172413796e-05,A,Directed
291,Herbie Hancock,2.6939655172413796e-05,A,Directed
292,John Foxx,2.6939655172413796e-05,A,Directed
293,Green River,2.6939655172413796e-05,A,Directed
294,Andrew Hill,2.6939655172413796e-05,A,Directed
295,Quicksand,2.6939655172413796e-05,A,Directed
296,Vision of Disorder,2.6939655172413796e-05,A,Directed
297,Cheryl Wheeler,2.6939655172413796e-05,A,Directed
298,Jellyfish,2.6939655172413796e-05,A,Directed
299,Incubus,2.6939655172413796e-05,A,Directed
300,Israel Vibration,2.6939655172413796e-05,A,Directed
301,Hot Action Cop,2.6939655172413796e-05,A,Directed
302,Biosphere,2.6939655172413796e-05,A,Directed
303,Jeri Southern,2.6939655172413796e-05,A,Directed
304,"Eddie ""Cleanhead"" Vinson",2.6939655172413796e-05,A,Directed
305,Girls Aloud,2.6939655172413796e-05,A,Directed
306,Terry Riley,2.6939655172413796e-05,A,Directed
307,John Hartford,2.6939655172413796e-05,A,Directed
308,Chico Hamilton,2.6939655172413796e-05,A,Directed
309,Saving Abel,2.6939655172413796e-05,A,Directed
310,Queens of the Stone Age,2.6939655172413796e-05,A,Directed
311,The Five Stairsteps,2.6939655172413796e-05,A,Directed
312,Wynton Kelly,2.6939655172413796e-05,A,Directed
313,Yonder Mountain String Band,2.6939655172413796e-05,A,Directed
314,Liz Story,2.6939655172413796e-05,A,Directed
315,Gas,2.6939655172413796e-05,A,Directed
316,Dick Gregory,2.6939655172413796e-05,A,Directed
317,Fishbone,2.6939655172413796e-05,A,Directed
318,Carole King,2.6939655172413796e-05,A,Directed
319,Toninho Horta,2.6939655172413796e-05,A,Directed
320,Danielle Dax,2.6939655172413796e-05,A,Directed
321,Chet Atkins,2.6939655172413796e-05,A,Directed
322,The Chieftains,2.6939655172413796e-05,A,Directed
323,Colby O'Donis,2.6939655172413796e-05,A,Directed
324,311,2.6939655172413796e-05,A,Directed
325,Peaches & Herb,2.6939655172413796e-05,A,Directed
326,James Newton Howard,2.6939655172413796e-05,A,Directed
327,The Dickies,2.6939655172413796e-05,A,Directed
328,Petula Clark,2.6939655172413796e-05,A,Directed
329,James TW,2.6939655172413796e-05,A,Directed
330,The Flys,2.6939655172413796e-05,A,Directed
331,Wilbur Ware,2.6939655172413796e-05,A,Directed
332,Willis Alan Ramsey,2.6939655172413796e-05,A,Directed
333,Woody Shaw,2.6939655172413796e-05,A,Directed
334,The Muppets,2.6939655172413796e-05,A,Directed
335,Yolanda Adams,2.6939655172413796e-05,A,Directed
336,Omarion,2.6939655172413796e-05,A,Directed
337,Noname,2.6939655172413796e-05,A,Directed
338,John Sebastian,2.6939655172413796e-05,A,Directed
339,Joseph Arthur,2.6939655172413796e-05,A,Directed
340,Patti Page,2.6939655172413796e-05,A,Directed
341,Lionel Cartwright,2.6939655172413796e-05,A,Directed
342,Styx,2.6939655172413796e-05,A,Directed
343,Phil Keaggy,2.6939655172413796e-05,A,Directed
344,Traffic,2.6939655172413796e-05,A,Directed
345,Dos,2.6939655172413796e-05,A,Directed
346,Cocoa Tea,2.6939655172413796e-05,A,Directed
347,Rita Coolidge,2.6939655172413796e-05,A,Directed
348,Astor Piazzolla,2.6939655172413796e-05,A,Directed
349,The Tremeloes,2.6939655172413796e-05,A,Directed
350,Tamba Trio,2.6939655172413796e-05,A,Directed
351,Tom Verlaine,2.6939655172413796e-05,A,Directed
352,Tony Rebel,2.6939655172413796e-05,A,Directed
353,Gloria Lynne,2.6939655172413796e-05,A,Directed
354,Justin Timberlake,2.6939655172413796e-05,A,Directed
355,The Rolling Stones,2.6939655172413796e-05,A,Directed
356,The Rivingtons,2.6939655172413796e-05,A,Directed
357,Concrete Blonde,2.6939655172413796e-05,A,Directed
358,David Lanz,2.6939655172413796e-05,A,Directed
359,Os Mutantes,2.6939655172413796e-05,A,Directed
360,Stan Getz,2.6939655172413796e-05,A,Directed
361,Red Foley,2.6939655172413796e-05,A,Directed
362,Al Hirt,2.6939655172413796e-05,A,Directed
363,Easton Corbin,2.6939655172413796e-05,A,Directed
364,GWAR,2.6939655172413796e-05,A,Directed
365,Horace Parlan,2.6939655172413796e-05,A,Directed
366,Halifax,2.6939655172413796e-05,A,Directed
367,Mad Cobra,2.6939655172413796e-05,A,Directed
368,Hank Williams III,2.6939655172413796e-05,A,Directed
369,Robbie Williams,2.6939655172413796e-05,A,Directed
370,Richard Swift,2.6939655172413796e-05,A,Directed
371,Alexander Robotnick,2.6939655172413796e-05,A,Directed
372,Musical Youth,2.6939655172413796e-05,A,Directed
373,Bappi Lahiri,2.6939655172413796e-05,A,Directed
374,Wilbert Harrison,2.6939655172413796e-05,A,Directed
375,T-Bone Walker,2.6939655172413796e-05,A,Directed
376,Vixen,2.6939655172413796e-05,A,Directed
377,Mr. Mister,2.6939655172413796e-05,A,Directed
378,The Black Angels,2.6939655172413796e-05,A,Directed
379,"Oscar Brown, Jr.",2.6939655172413796e-05,A,Directed
380,Fountains of Wayne,2.6939655172413796e-05,A,Directed
381,Ikon,2.6939655172413796e-05,A,Directed
382,Suzanne Vega,2.6939655172413796e-05,A,Directed
383,Yo-Yo,2.6939655172413796e-05,A,Directed
384,Kate & Anna McGarrigle,2.6939655172413796e-05,A,Directed
385,Atreyu,2.6939655172413796e-05,A,Directed
386,The Jesters,2.6939655172413796e-05,A,Directed
387,Bill Cosby,2.6939655172413796e-05,A,Directed
388,Sugababes,2.6939655172413796e-05,A,Directed
389,Luciano Pavarotti,2.6939655172413796e-05,A,Directed
390,Elohim,2.6939655172413796e-05,A,Directed
391,Mel Brooks,2.6939655172413796e-05,A,Directed
392,Kitty Wells,2.6939655172413796e-05,A,Directed
393,The Ronettes,2.6939655172413796e-05,A,Directed
394,Dangerous Toys,2.6939655172413796e-05,A,Directed
395,The Supremes,2.6939655172413796e-05,A,Directed
396,Leroy Hutson,2.6939655172413796e-05,A,Directed
397,Aaron Carter,2.6939655172413796e-05,A,Directed
398,Jackie Mittoo,2.6939655172413796e-05,A,Directed
399,Jonathan Butler,2.6939655172413796e-05,A,Directed
400,Jeff Lynne,2.6939655172413796e-05,A,Directed
401,Beenie Man,2.6939655172413796e-05,A,Directed
402,Orange Juice,2.6939655172413796e-05,A,Directed
403,Artie Shaw,2.6939655172413796e-05,A,Directed
404,Sigue Sigue Sputnik,2.6939655172413796e-05,A,Directed
405,Platinum Blonde,2.6939655172413796e-05,A,Directed
406,George Harrison,2.6939655172413796e-05,A,Directed
407,The Suicide Machines,2.6939655172413796e-05,A,Directed
408,LiberaciÃ³n,2.6939655172413796e-05,A,Directed
409,Billy Ray Cyrus,2.6939655172413796e-05,A,Directed
410,Sleep,2.6939655172413796e-05,A,Directed
411,Lonnie Liston Smith,2.6939655172413796e-05,A,Directed
412,Jimmy Webb,2.6939655172413796e-05,A,Directed
413,Grupo ManÃ­a,2.6939655172413796e-05,A,Directed
414,Sodom,2.6939655172413796e-05,A,Directed
415,VolovÃ¡n,2.6939655172413796e-05,A,Directed
416,Buddy Guy,2.6939655172413796e-05,A,Directed
417,Ween,2.6939655172413796e-05,A,Directed
418,Trio,2.6939655172413796e-05,A,Directed
419,Yello,2.6939655172413796e-05,A,Directed
420,Joe Liggins,2.6939655172413796e-05,A,Directed
421,Little Milton,2.6939655172413796e-05,A,Directed
422,Everything But the Girl,2.6939655172413796e-05,A,Directed
423,Colt Ford,2.6939655172413796e-05,A,Directed
424,Ibrahim Ferrer,2.6939655172413796e-05,A,Directed
425,Michael Henderson,2.6939655172413796e-05,A,Directed
426,Len,2.6939655172413796e-05,A,Directed
427,Lana Del Rey,2.6939655172413796e-05,A,Directed
428,James Booker,2.6939655172413796e-05,A,Directed
429,Atlantic Starr,2.6939655172413796e-05,A,Directed
430,Jon Brion,2.6939655172413796e-05,A,Directed
431,Afro-Cuban All Stars,2.6939655172413796e-05,A,Directed
432,Billy Ocean,2.6939655172413796e-05,A,Directed
433,The Districts,2.6939655172413796e-05,A,Directed
434,Cowboy,2.6939655172413796e-05,A,Directed
435,Hot Chip,2.6939655172413796e-05,A,Directed
436,Gojira,2.6939655172413796e-05,A,Directed
437,The Blackbyrds,2.6939655172413796e-05,A,Directed
438,Jean Ritchie,2.6939655172413796e-05,A,Directed
439,Leon Redbone,2.6939655172413796e-05,A,Directed
440,Gang of Four,2.6939655172413796e-05,A,Directed
441,Denis Leary,2.6939655172413796e-05,A,Directed
442,Cibo Matto,2.6939655172413796e-05,A,Directed
443,The Peasall Sisters,2.6939655172413796e-05,A,Directed
444,Tasmin Archer,2.6939655172413796e-05,A,Directed
445,Jimmie Vaughan,2.6939655172413796e-05,A,Directed
446,Lord Huron,2.6939655172413796e-05,A,Directed
447,Les Baxter,2.6939655172413796e-05,A,Directed
448,Coldplay,2.6939655172413796e-05,A,Directed
449,Jacky Terrasson,2.6939655172413796e-05,A,Directed
450,James Brown,2.6939655172413796e-05,A,Directed
451,Ricky Skaggs,2.6939655172413796e-05,A,Directed
452,Babylon A.D.,2.6939655172413796e-05,A,Directed
453,Edwyn Collins,2.6939655172413796e-05,A,Directed
454,Junior Vasquez,2.6939655172413796e-05,A,Directed
455,Mika,2.6939655172413796e-05,A,Directed
456,Snot,2.6939655172413796e-05,A,Directed
457,Norman Connors,2.6939655172413796e-05,A,Directed
458,Vern Gosdin,2.6939655172413796e-05,A,Directed
459,Collin Walcott,2.6939655172413796e-05,A,Directed
460,Calvin Richardson,2.6939655172413796e-05,A,Directed
461,Teenage Fanclub,2.6939655172413796e-05,A,Directed
462,Chase,2.6939655172413796e-05,A,Directed
463,Ryan Cabrera,2.6939655172413796e-05,A,Directed
464,The Romantics,2.6939655172413796e-05,A,Directed
465,JosÃ© Carreras,2.6939655172413796e-05,A,Directed
466,Kenny Garrett,2.6939655172413796e-05,A,Directed
467,Ana Gabriel,2.6939655172413796e-05,A,Directed
468,Natalie Merchant,2.6939655172413796e-05,A,Directed
469,Donna the Buffalo,2.6939655172413796e-05,A,Directed
470,Zakk Wylde,2.6939655172413796e-05,A,Directed
471,Amy Winehouse,2.6939655172413796e-05,A,Directed
472,Red Lorry Yellow Lorry,2.6939655172413796e-05,A,Directed
473,Crumb,2.6939655172413796e-05,A,Directed
474,Larry Levan,2.6939655172413796e-05,A,Directed
475,Lonestar,2.6939655172413796e-05,A,Directed
476,Jackie Paris,2.6939655172413796e-05,A,Directed
477,Natalia Lafourcade,2.6939655172413796e-05,A,Directed
478,Andy Williams,2.6939655172413796e-05,A,Directed
479,Gianluca Grignani,2.6939655172413796e-05,A,Directed
480,Rick Nielsen,2.6939655172413796e-05,A,Directed
481,Eagle-Eye Cherry,2.6939655172413796e-05,A,Directed
482,Susumu Yokota,2.6939655172413796e-05,A,Directed
483,Ozomatli,2.6939655172413796e-05,A,Directed
484,Dokken,2.6939655172413796e-05,A,Directed
485,Cass McCombs,2.6939655172413796e-05,A,Directed
486,Larry Gatlin,2.6939655172413796e-05,A,Directed
487,"Peter, Paul and Mary",2.6939655172413796e-05,A,Directed
488,George Shearing,2.6939655172413796e-05,A,Directed
489,The Kinks,2.6939655172413796e-05,A,Directed
490,Marvin Gaye,2.6939655172413796e-05,A,Directed
491,Rick Wakeman,2.6939655172413796e-05,A,Directed
492,Kevin Coyne,2.6939655172413796e-05,A,Directed
493,Coheed and Cambria,2.6939655172413796e-05,A,Directed
494,Kevin Morby,2.6939655172413796e-05,A,Directed
495,Jamie Cullum,2.6939655172413796e-05,A,Directed
496,Peter Rowan,2.6939655172413796e-05,A,Directed
497,Cole Swindell,2.6939655172413796e-05,A,Directed
