Id,Label,Weight,color,modularity_class
260,Nirvana,111,u,46
261,Neurosis,4,a,26
262,Mr. Bungle,17,u,46
263,Helmet,21,u,46
264,Marilyn Manson,16,u,46
265,T. Rex,71,l,37
266,Chuck Berry,159,v,47
267,Elvis Presley,166,u,46
268,Donovan,38,u,46
269,Little Richard,88,A,0
270,The Paul Butterfield Blues Band,1,u,46
271,Steppenwolf,24,u,46
272,The Amboy Dukes,5,u,46
273,King Crimson,50,u,46
274,The Doors,74,j,35
275,Laura Nyro,32,u,46
276,Frank Zappa,63,O,14
277,Vanilla Fudge,22,u,46
278,John Barry,17,u,46
279,The Pretty Things,19,d,29
280,Tony Bennett,28,u,46
281,Paolo Conte,5,u,46
282,Ã‰dith Piaf,34,v,47
283,Yves Montand,2,v,47
284,Charles Aznavour,19,v,47
285,Dave Brubeck,14,u,46
286,Terry Gibbs,1,u,46
287,Alice Coltrane,3,u,46
288,John Coltrane,118,u,46
289,Dexter Gordon,17,u,46
290,Ravi Shankar,21,v,47
291,Bud Powell,38,v,47
292,McCoy Tyner,14,u,46
293,Paul Oakenfold,5,u,46
294,Robert Miles,1,u,46
295,Paul van Dyk,4,u,46
296,Pearl Jam,41,u,46
297,Semisonic,4,u,46
298,Paul Westerberg,9,u,46
299,BoDeans,5,u,46
300,Big Star,75,u,46
301,The Connells,3,u,46
302,Crowded House,14,u,46
303,Foo Fighters,33,u,46
304,Lindsey Buckingham,7,u,46
305,Jimmy Buffett,18,u,46
306,Matthew Sweet,6,u,46
307,The Posies,3,u,46
308,Tom Petty,39,k,36
309,Marshall Crenshaw,7,j,35
310,The Smithereens,7,u,46
311,Todd Rundgren,28,u,46
312,Gram Parsons,51,u,46
313,Steely Dan,24,V,21
314,Toto,8,u,46
315,Bee Gees,49,u,46
316,"Blood, Sweat & Tears",13,u,46
317,Boz Scaggs,8,u,46
318,Larry Carlton,5,u,46
319,Chicago,15,u,46
320,Jackson Browne,34,u,46
321,The Doobie Brothers,14,u,46
322,Loggins & Messina,1,v,47
323,Orleans,2,u,46
324,Manfred Mann,7,d,29
325,Yes,43,u,46
326,Elton John,76,l,37
327,Herbie Hancock,31,u,46
328,Harold Arlen,8,v,47
329,Billie Holiday,106,v,47
330,Billy Eckstine,33,v,47
331,Dizzy Gillespie,61,v,47
332,Joe Mooney,2,v,47
333,Ella Fitzgerald,75,v,47
334,Sarah Vaughan,45,v,47
335,Charlie Parker,95,u,46
336,Johnny Hartman,15,u,46
337,Joe Williams,10,v,47
338,Johnny Mercer,15,v,47
339,Stan Getz,18,u,46
340,Max Roach,28,v,47
341,Stan Levey,1,v,47
342,Stephanie Mills,6,u,46
343,Alicia Myers,0,u,46
344,Deniece Williams,10,u,46
345,The Jones Girls,1,u,46
346,Ray Charles,113,v,47
347,Ali Farka TourÃ©,5,v,47
348,Big Joe Williams,10,v,47
349,John Lee Hooker,62,v,47
350,Lightnin' Hopkins,35,v,47
351,Compay Segundo,12,v,47
352,Pablo MilanÃ©s,2,v,47
353,Vicente FernÃ¡ndez,4,v,47
354,Alicia Villarreal,0,u,46
355,Luis Miguel,11,u,46
356,Alejandro FernÃ¡ndez,4,u,46
357,Alejandro Sanz,1,u,46
358,Vassar Clements,11,u,46
359,Alison Krauss & Union Station,0,u,46
360,Ralph Stanley,20,v,47
361,J.D. Crowe & the New South,5,u,46
362,Steve Howe,3,v,47
363,Brian May,3,u,46
364,Jimmy Page,14,u,46
365,George Harrison,13,u,46
366,Rick Nielsen,2,u,46
367,The Shadows,22,l,37
368,Joe Satriani,8,u,46
369,Smokey Robinson,84,u,46
370,Pete Townshend,9,V,21
371,Jaco Pastorius,8,u,46
372,Tony Levin,2,u,46
373,Jack Bruce,13,u,46
374,The Five Satins,6,u,46
375,The Delfonics,11,u,46
376,The Five Keys,5,u,46
377,The Impressions,30,u,46
378,The Drifters,47,u,46
379,Curtis Mayfield,73,u,46
380,The Dells,17,v,47
381,Gene Chandler,10,u,46
382,Jerry Butler,24,u,46
383,Brook Benton,10,u,46
384,The Platters,37,u,46
385,Pebbles,2,t,45
386,Betty Wright,15,u,46
387,Klymaxx,2,u,46
388,Labelle,14,u,46
389,The Supremes,33,u,46
390,Minnie Riperton,32,u,46
391,Atlantic Starr,6,u,46
392,The Tams,6,v,47
393,The Three Degrees,5,u,46
394,Diana Ross,52,u,46
395,Gloria Gaynor,10,u,46
396,Sister Sledge,9,u,46
397,New Edition,24,u,46
398,The Pointer Sisters,10,u,46
399,Bo Diddley,65,A,0
400,The Trashmen,5,d,29
401,The Champs,2,v,47
402,Chubby Checker,7,u,46
403,The Rivingtons,1,u,46
404,The Kingsmen,15,u,46
405,Blind Melon,9,u,46
406,Papa Roach,5,u,46
407,Kid Rock,15,u,46
408,Fugazi,42,u,46
409,Alice in Chains,44,u,46
410,The Cult,10,u,46
411,Sex Pistols,153,u,46
412,Heart,19,u,46
413,Misfits,27,u,46
414,Ronnie Milsap,13,l,37
415,T. Graham Brown,0,u,46
416,Tower of Power,7,u,46
417,Sharon Jones & the Dap-Kings,1,u,46
418,The Mar-Keys,7,u,46
419,Ike & Tina Turner,19,u,46
420,James Brown,154,l,37
421,Barbara Lynn,3,u,46
422,Carla Thomas,11,u,46
423,Fontella Bass,6,u,46
424,Otis Redding,99,l,37
425,The Memphis Horns,6,u,46
426,Candi Staton,7,u,46
427,Gladys Knight & the Pips,4,v,47
428,Steve Cropper,4,u,46
429,Irma Thomas,15,u,46
430,Lyn Collins,2,v,47
431,Etta James,37,u,46
432,Was (Not Was),5,u,46
433,Otis Clay,6,u,46
434,The Mamas & the Papas,16,u,46
435,Spanky & Our Gang,2,u,46
436,The Four Freshmen,12,v,47
437,The New Christy Minstrels,8,u,46
438,Herman's Hermits,14,u,46
439,The Flaming Lips,30,u,46
440,Sparklehorse,7,h,33
441,Galaxie 500,13,u,46
442,R.E.M.,85,u,46
443,The Replacements,58,u,46
444,Guided by Voices,21,u,46
445,The Boo Radleys,7,u,46
446,Pavement,31,u,46
447,Cracker,6,u,46
448,Mojave 3,9,u,46
449,Alkaline Trio,8,e,30
450,Senses Fail,0,u,46
451,Saves the Day,10,h,33
452,Dag Nasty,8,v,47
453,Youth of Today,4,u,46
454,Cro-Mags,6,u,46
455,Jawbreaker,26,d,29
456,The Promise Ring,16,u,46
457,Jawbox,19,u,46
458,Sparta,0,u,46
459,U2,81,u,46
460,Government Issue,4,u,46
461,Sheena Easton,9,t,45
462,Patty Smyth,7,u,46
463,Jody Watley,12,u,46
464,Take That,17,u,46
465,M People,4,t,45
466,Howard Jones,9,u,46
467,Leif Garrett,7,u,46
468,Wham!,16,u,46
469,Samantha Fox,5,t,45
470,Lisa Stansfield,6,u,46
471,Rick Astley,3,t,45
472,New Kids on the Block,21,t,45
473,The Partridge Family,13,u,46
474,Ace of Base,17,t,45
475,George Michael,22,u,46
476,The Velvelettes,4,u,46
477,Kylie Minogue,18,t,45
478,Shalamar,9,u,46
479,Menudo,11,u,46
480,Sparks,20,u,46
481,Jacques Brel,25,u,46
482,Scott Walker,30,u,46
483,The Stylistics,12,u,46
484,Tracey Thorn,1,u,46
485,Young Marble Giants,12,u,46
486,SHeDAISY,0,u,46
487,Jo Dee Messina,7,u,46
488,Shania Twain,20,u,46
489,Faith Hill,17,u,46
490,Dixie Chicks,19,u,46
491,Deana Carter,6,u,46
492,Joni Mitchell,116,u,46
493,Lorrie Morgan,13,u,46
494,McBride & the Ride,1,u,46
495,Martina McBride,16,u,46
496,Mindy McCready,3,u,46
497,Trisha Yearwood,12,u,46
498,Terri Clark,4,u,46
499,Sarah McLachlan,18,h,33
500,Mary Chapin Carpenter,9,u,46
501,Static-X,1,u,46
502,Fear Factory,13,a,26
503,Filter,4,u,46
504,Ministry,26,u,46
505,White Zombie,12,u,46
506,Shed Seven,0,u,46
507,Oasis,24,u,46
508,The Stone Roses,27,u,46
509,Slam Stewart,2,v,47
510,Charles Mingus,26,u,46
511,Erskine Hawkins,7,v,47
512,Lennie Tristano,8,v,47
513,Thelonious Monk,51,v,47
514,Milt Hinton,5,v,47
515,Buddy Collette,2,u,46
516,Amos Milburn,12,v,47
517,Taproot,0,u,46
518,Candlebox,13,u,46
519,Slipknot,8,u,46
520,Creed,22,u,46
521,Deftones,33,u,46
522,Spineshank,0,u,46
523,Traffic,23,u,46
524,Spin Doctors,11,u,46
525,Ten Years After,9,u,46
526,Steve Miller Band,2,u,46
527,The Band,82,j,35
528,Bob Weir,11,j,35
529,Bootsy Collins,17,u,46
530,Edgar Winter,10,u,46
531,War,14,u,46
532,Jorma Kaukonen,6,u,46
533,Van Morrison,63,A,0
534,Little Feat,24,u,46
535,Quicksilver Messenger Service,10,j,35
536,The Allman Brothers Band,53,u,46
537,Graham Central Station,10,u,46
538,Chic,37,u,46
539,Spandau Ballet,7,u,46
540,Be Bop Deluxe,17,u,46
541,Gary Numan,46,u,46
542,Japan,14,u,46
543,Sam Cooke,128,v,47
544,David Bowie,238,l,37
545,Brian Eno,135,u,46
546,David Essex,11,u,46
547,Ultravox,30,u,46
548,Roxy Music,103,l,37
549,Bad Religion,35,u,46
550,All,7,u,46
551,Generation X,11,u,46
552,Redd Kross,2,u,46
553,Tracy Bonham,1,m,38
554,Pat Benatar,17,u,46
555,Liz Phair,13,t,45
556,Hole,12,m,38
557,Tori Amos,23,u,46
558,Travis Tritt,16,u,46
559,Tracy Byrd,0,u,46
560,Keith Whitley,21,u,46
561,Ricky Van Shelton,11,u,46
562,Vince Gill,29,u,46
563,Johnny Paycheck,16,u,46
564,Sammy Kershaw,2,u,46
565,Randy Travis,35,u,46
566,Brooks & Dunn,14,u,46
567,Alan Jackson,27,u,46
568,Clint Black,23,u,46
569,Garth Brooks,38,u,46
570,George Strait,47,u,46
571,Teena Marie,19,u,46
572,Tara Kemp,0,u,46
573,Ferlin Husky,4,v,47
574,Sheb Wooley,1,v,47
575,Grant Lee Buffalo,10,u,46
576,Palace,0,u,46
577,Sonny Landreth,6,u,46
578,Tab Benoit,0,u,46
579,"Clarence ""Gatemouth"" Brown",13,v,47
580,Dr. John,16,l,37
581,Professor Longhair,18,v,47
582,Albert Collins,15,u,46
583,Albert King,36,u,46
584,Stevie Ray Vaughan,16,u,46
585,Buddy Guy,40,u,46
586,American Head Charge,0,u,46
587,Keith Jarrett,13,u,46
588,Bob Dorough,5,u,46
589,Horace Silver,32,v,47
590,Stan Kenton,24,v,47
591,Jay & the Americans,1,u,46
592,Mose Allison,20,A,0
593,Petula Clark,21,u,46
594,Olivia Newton-John,9,u,46
595,Anne Murray,12,u,46
596,Helen Reddy,1,u,46
597,Linda Ronstadt,31,u,46
598,Stevie Nicks,19,u,46
599,Kenny Burrell,13,u,46
600,Stanley Jordan,3,u,46
601,Carlos Santana,4,v,47
602,Gabor Szabo,3,u,46
603,George Benson,20,K,10
604,Wes Montgomery,25,u,46
605,Roy Buchanan,3,u,46
606,All-4-One,4,u,46
607,Bell Biv DeVoe,14,u,46
608,Take 6,2,u,46
609,Little Anthony & the Imperials,11,u,46
610,The Tymes,1,v,47
611,Guy,19,u,46
612,The Chi-Lites,7,u,46
613,Keith Sweat,25,u,46
614,"Hank Williams, Jr.",28,u,46
615,Trace Adkins,4,u,46
616,Waylon Jennings,50,u,46
617,Ricky Skaggs,18,u,46
618,Merle Haggard,100,u,46
619,Mickey Gilley,7,u,46
620,Daryle Singletary,2,u,46
621,Dwight Yoakam,17,u,46
622,John Mayall,28,u,46
623,The Rascals,9,u,46
624,Georgie Fame,14,A,0
625,Yusef Lateef,5,u,46
626,The Byrds,158,u,46
627,The Animals,39,d,29
628,Them,14,d,29
629,Taylor Dayne,1,t,45
630,Sister Carol,0,u,46
631,Marcia Griffiths,7,u,46
632,Everclear,12,u,46
633,American Hi-Fi,0,u,46
634,Tadd Dameron,6,v,47
635,Stanley Turrentine,7,u,46
636,Sonny Rollins,29,u,46
637,Gene Ammons,8,u,46
638,Don Byas,15,u,46
639,Lowell Fulson,2,v,47
640,Illinois Jacquet,11,v,47
641,The Blues Brothers,2,u,46
642,Cheech & Chong,7,u,46
643,Twisted Sister,14,u,46
644,Def Leppard,28,u,46
645,Scorpions,19,u,46
646,Status Quo,9,l,37
647,The Rutles,3,u,46
648,Stealers Wheel,1,u,46
649,Soul Coughing,8,u,46
650,TV on the Radio,0,u,46
651,The Fall,31,A,0
652,Frank Black,15,u,46
653,Dinosaur Jr.,35,u,46
654,Joy Division,84,u,46
655,Public Image Ltd.,28,u,46
656,Jan Hammer,3,u,46
657,Peter Gabriel,44,u,46
658,Thee Oh Sees,2,u,46
659,The J.B.'s,17,l,37
660,Stanton Moore,0,u,46
661,Idris Muhammad,1,u,46
662,Marcus Miller,5,u,46
663,Jimmy Smith,20,v,47
664,Patrick O'Hearn,0,u,46
665,Kitaro,6,u,46
666,Edgar Froese,3,u,46
667,Harold Budd,12,u,46
668,Rick Wakeman,9,u,46
669,Mannheim Steamroller,9,u,46
670,Liz Story,2,u,46
671,Vangelis,13,u,46
672,Gordon Lightfoot,13,u,46
673,Stan Rogers,1,u,46
674,Tom Paxton,24,u,46
675,Patsy Cline,50,u,46
676,Bobby Darin,20,u,46
677,Eagles,42,u,46
678,David Allan Coe,17,u,46
679,Glen Campbell,22,u,46
680,The Collins Kids,5,u,46
681,Wanda Jackson,19,u,46
682,Melba Montgomery,6,u,46
683,Brenda Lee,22,u,46
684,George Jones,77,v,47
685,Paul Simon,50,u,46
686,Shawn Colvin,11,u,46
687,Bonnie Raitt,29,u,46
688,Chris Smither,2,u,46
689,Carly Simon,17,u,46
690,Dusty Springfield,32,u,46
691,Dan Fogelberg,8,u,46
692,Carole King,54,l,37
693,Fleetwood Mac,47,u,46
694,Don Henley,12,u,46
695,James Taylor,53,u,46
696,Judee Sill,8,u,46
697,Rosanne Cash,10,u,46
698,Judy Collins,16,u,46
699,Richard Thompson,11,u,46
700,Rickie Lee Jones,16,h,33
701,Willis Alan Ramsey,5,u,46
702,The Roches,8,u,46
703,John Hiatt,9,u,46
704,Leon Russell,10,V,21
705,Kate & Anna McGarrigle,12,u,46
706,Dave Mason,12,u,46
707,Solomon Burke,26,Y,24
708,Wilson Pickett,38,l,37
709,The Isley Brothers,46,l,37
710,Booker T. Jones,15,u,46
711,Lee Dorsey,14,v,47
712,Teenage Fanclub,11,u,46
713,Travis,6,u,46
714,Paul Weller,13,J,9
715,Paul McCartney,29,l,37
716,Supergrass,7,u,46
717,Smashing Pumpkins,30,u,46
718,The Lightning Seeds,7,u,46
719,James,9,u,46
720,Echo & the Bunnymen,40,u,46
721,Ride,18,u,46
722,Jeff Buckley,24,u,46
723,Radiohead,55,u,46
724,The Verve,14,u,46
725,Feeder,3,u,46
726,Del Amitri,6,u,46
727,Manic Street Preachers,7,u,46
728,Sister Rosetta Tharpe,13,v,47
729,Muddy Waters,113,v,47
730,Ella Mae Morse,1,v,47
731,Shawn Mullins,0,u,46
732,Stephen Stills,12,u,46
733,Indigo Girls,10,u,46
734,Kris Kristofferson,27,u,46
735,Jim Croce,9,u,46
736,Alan Parsons,6,u,46
737,Starcastle,0,u,46
738,Genesis,37,u,46
739,Jon Anderson,1,u,46
740,The Moody Blues,30,u,46
741,"Emerson, Lake & Palmer",17,u,46
742,Eddie Fisher,4,u,46
743,Tab Hunter,2,u,46
744,The Guess Who,11,u,46
745,Spirit of the West,1,u,46
746,"Crosby, Stills & Nash",33,u,46
747,Fairport Convention,30,u,46
748,The Clancy Brothers,15,v,47
749,Chico O'Farrill,2,v,47
750,Paquito D'Rivera,2,u,46
751,Bebo ValdÃ©s,1,v,47
752,Lee Konitz,6,u,46
753,Oliver Nelson,7,u,46
754,Tito Puente,21,v,47
755,Shirley Caesar,14,v,47
756,Tramaine Hawkins,0,v,47
757,Kitty Wells,33,v,47
758,The Maddox Brothers & Rose,15,v,47
759,Red Foley,18,v,47
760,Hank Williams,184,v,47
761,Patti Page,6,u,46
762,Eddy Arnold,18,v,47
763,Roy Acuff,50,v,47
764,Kay Starr,7,v,47
765,Transvision Vamp,0,u,46
766,Blondie,62,u,46
767,The Clash,136,j,35
768,Christy Moore,8,u,46
769,Paul Brady,1,u,46
770,Tommy Makem,8,v,47
771,Trans-Siberian Orchestra,0,u,46
772,Boston,26,u,46
773,Enigma,3,u,46
774,Rush,33,u,46
775,Kansas,8,u,46
776,Marillion,3,u,46
777,Renaissance,9,u,46
778,Sister Hazel,0,u,46
779,Duran Duran,28,u,46
780,Counting Crows,19,u,46
781,Blues Traveler,14,u,46
782,The Outlaws,4,u,46
783,Styx,20,l,37
784,Tracy Chapman,18,u,46
785,Tasmin Archer,0,u,46
786,Elvis Costello,59,A,0
787,Taste,0,u,46
788,SisqÃ³,1,u,46
789,Blackstreet,10,u,46
790,Bobby Brown,30,u,46
791,Boyz II Men,26,u,46
792,Michael Jackson,101,l,37
793,Kenny Rogers,19,j,35
794,Billy Joe Shaver,18,u,46
795,Emmylou Harris,39,u,46
796,Rodney Crowell,14,u,46
797,David Frizzell,6,u,46
798,Charlie Daniels,18,u,46
799,Shaun Cassidy,0,u,46
800,Television Personalities,7,u,46
801,Badfinger,27,u,46
802,The Clean,14,u,46
803,Beat Happening,17,u,46
804,Flamin' Groovies,15,d,29
805,Love,33,u,46
806,The Jesus and Mary Chain,35,j,35
807,The Only Ones,12,u,46
808,Orange Juice,19,u,46
809,The Pastels,9,u,46
810,1910 Fruitgum Company,5,u,46
811,Moby Grape,14,u,46
812,Wreckless Eric,5,u,46
813,The Church,8,u,46
814,Squeeze,27,u,46
815,New York Dolls,59,c,28
816,Buffalo Springfield,37,u,46
817,Bill Withers,33,u,46
818,Aloe Blacc,0,u,46
819,Sevendust,2,u,46
820,Amel Larrieux,2,u,46
821,Anita Baker,21,u,46
822,Tavares,0,u,46
823,Andy Williams,13,u,46
824,Tony Orlando,0,u,46
825,Sweet Honey in the Rock,4,u,46
826,Graham Nash,8,u,46
827,Don McLean,10,u,46
828,John Lennon,40,l,37
829,Richie Havens,14,J,9
830,Buffy Sainte-Marie,11,u,46
831,Phoebe Snow,10,u,46
832,Odetta,25,v,47
833,The Action,10,u,46
834,Small Faces,30,u,46
835,The Move,25,u,46
836,The Zombies,55,c,28
837,The Blue Nile,7,u,46
838,Alpha,1,G,6
839,Jimmy Webb,14,u,46
840,Portishead,27,H,7
841,New Order,74,u,46
842,Ennio Morricone,30,v,47
843,James Cotton,9,u,46
844,Paul Gonsalves,0,u,46
845,Ben Webster,19,v,47
846,King Tubby,26,u,46
847,Alpha Blondy,9,u,46
848,Barrington Levy,12,u,46
849,Gregory Isaacs,20,u,46
850,Peter Tosh,35,S,18
851,Burning Spear,15,u,46
852,Sly & Robbie,18,u,46
853,"Lee ""Scratch"" Perry",48,O,14
854,Junior Murvin,7,u,46
855,Tenacious D,0,u,46
856,Dio,18,u,46
857,Guns N' Roses,31,u,46
858,Ween,10,u,46
859,Ronnie James Dio,2,v,47
860,Neil Diamond,20,u,46
861,Sixpence None the Richer,3,u,46
862,The Innocence Mission,4,u,46
863,The La's,5,u,46
864,Cowboy Junkies,10,u,46
865,"10,000 Maniacs",14,u,46
866,The Sundays,6,u,46
867,The Cranberries,3,u,46
868,Gladys Knight,36,u,46
869,Patti LaBelle,26,u,46
870,The Shangri-Las,32,u,46
871,The Ronettes,27,u,46
872,Darlene Love,4,v,47
873,Tina Turner,27,u,46
874,Doris Troy,7,u,46
875,Ruth Brown,22,u,46
876,Lorraine Ellison,7,u,46
877,Sly & the Family Stone,67,u,46
878,Terence Trent D'Arby,13,u,46
879,Billy Preston,11,u,46
880,Al Green,78,u,46
881,Commodores,13,u,46
882,Cameo,16,u,46
883,Teresa Brewer,0,v,47
