Id,Label,timeset,weight,color,modularity_class
194,Charlie Christian,,35,v,6
195,Tony Rebel,,0,u,13
196,T.S.O.L.,,1,u,14
197,The Dickies,,13,u,14
198,The Weirdos,,11,u,14
199,Steven Halpern,,4,u,6
200,Parijat,,0,u,6
201,George Duke,,16,u,6
202,T-Connection,,0,u,6
203,Paula Abdul,,9,t,1
204,Selena,,13,t,1
205,Cyndi Lauper,,18,u,1
206,Fito Olivares,,1,u,7
207,Madonna,,77,G,1
208,Donna Summer,,34,u,1
209,Gloria Estefan,,16,t,7
210,Los Tigres del Norte,,8,u,0
211,The Kinks,,192,d,2
212,Space,,1,u,2
213,The Who,,149,N,8
214,Syreeta,,5,v,1
215,Alicia Keys,,6,u,1
216,Natalie Cole,,14,u,1
217,Isaac Hayes,,35,u,9
218,D'Angelo,,26,u,9
219,Faith Evans,,14,u,1
220,Dionne Warwick,,32,u,1
221,Erykah Badu,,19,u,1
222,Sade,,28,u,1
223,Roberta Flack,,35,u,1
224,Marvin Gaye,,169,j,9
225,Prince,,94,l,9
226,Nina Simone,,52,u,1
227,The Sweet Inspirations,,9,v,1
228,Brenda Russell,,7,u,1
229,Stevie Wonder,,138,u,9
230,Maxwell,,7,u,9
231,Oleta Adams,,1,u,1
232,Aretha Franklin,,95,u,1
233,Allen Toussaint,,22,v,9
234,Slayer,,69,u,8
235,Pantera,,37,a,8
236,Iron Maiden,,69,u,8
237,Corrosion of Conformity,,13,u,8
238,Exhorder,,1,u,8
239,Judas Priest,,73,u,8
240,Van Halen,,54,u,8
241,Saint Vitus,,10,u,8
242,Venom,,31,u,8
243,Napalm Death,,13,C,8
244,Negative Approach,,6,u,8
245,Megadeth,,24,u,8
246,Ozzy Osbourne,,27,u,8
247,Anthrax,,30,u,8
248,MotÃ¶rhead,,55,u,8
249,Godflesh,,7,u,8
250,Annihilator,,7,u,8
251,Manowar,,14,u,8
252,Ted Nugent,,23,d,8
253,Testament,,12,u,8
254,Anvil,,8,u,8
255,Danzig,,15,u,8
256,System of a Down,,7,u,8
257,John Frusciante,,8,u,0
258,Rollins Band,,8,u,8
259,Nine Inch Nails,,34,u,8
260,Nirvana,,111,u,8
261,Neurosis,,4,a,8
262,Mr. Bungle,,17,u,8
263,Helmet,,21,u,8
264,Marilyn Manson,,16,u,8
265,T. Rex,,71,l,8
266,Chuck Berry,,159,v,0
267,Elvis Presley,,166,u,0
268,Donovan,,38,u,3
269,Little Richard,,88,A,0
270,The Paul Butterfield Blues Band,,1,u,0
271,Steppenwolf,,24,u,8
272,The Amboy Dukes,,5,u,0
273,King Crimson,,50,u,8
274,The Doors,,74,j,2
275,Laura Nyro,,32,u,3
276,Frank Zappa,,63,O,8
277,Vanilla Fudge,,22,u,8
278,John Barry,,17,u,6
279,The Pretty Things,,19,d,0
280,Tony Bennett,,28,u,1
281,Paolo Conte,,5,u,1
282,Ã‰dith Piaf,,34,v,1
283,Yves Montand,,2,v,1
284,Charles Aznavour,,19,v,1
285,Dave Brubeck,,14,u,6
286,Terry Gibbs,,1,u,6
287,Alice Coltrane,,3,u,6
288,John Coltrane,,118,u,6
289,Dexter Gordon,,17,u,6
290,Ravi Shankar,,21,v,6
291,Bud Powell,,38,v,6
292,McCoy Tyner,,14,u,6
293,Paul Oakenfold,,5,u,2
294,Robert Miles,,1,u,2
295,Paul van Dyk,,4,u,2
296,Pearl Jam,,41,u,8
297,Semisonic,,4,u,2
298,Paul Westerberg,,9,u,2
299,BoDeans,,5,u,0
300,Big Star,,75,u,2
301,The Connells,,3,u,2
302,Crowded House,,14,u,2
303,Foo Fighters,,33,u,14
304,Lindsey Buckingham,,7,u,3
305,Jimmy Buffett,,18,u,5
306,Matthew Sweet,,6,u,2
307,The Posies,,3,u,2
308,Tom Petty,,39,k,0
309,Marshall Crenshaw,,7,j,0
310,The Smithereens,,7,u,2
311,Todd Rundgren,,28,u,2
312,Gram Parsons,,51,u,5
313,Steely Dan,,24,V,3
314,Toto,,8,u,3
315,Bee Gees,,49,u,2
316,"Blood, Sweat & Tears",,13,u,9
317,Boz Scaggs,,8,u,9
318,Larry Carlton,,5,u,6
319,Chicago,,15,u,0
320,Jackson Browne,,34,u,3
321,The Doobie Brothers,,14,u,0
322,Loggins & Messina,,1,v,3
323,Orleans,,2,u,3
324,Manfred Mann,,7,d,2
325,Yes,,43,u,8
326,Elton John,,76,l,3
327,Herbie Hancock,,31,u,6
328,Harold Arlen,,8,v,1
329,Billie Holiday,,106,v,1
330,Billy Eckstine,,33,v,9
331,Dizzy Gillespie,,61,v,6
332,Joe Mooney,,2,v,6
333,Ella Fitzgerald,,75,v,1
334,Sarah Vaughan,,45,v,1
335,Charlie Parker,,95,u,6
336,Johnny Hartman,,15,u,9
337,Joe Williams,,10,v,9
338,Johnny Mercer,,15,v,1
339,Stan Getz,,18,u,6
340,Max Roach,,28,v,6
341,Stan Levey,,1,v,6
342,Stephanie Mills,,6,u,1
343,Alicia Myers,,0,u,1
344,Deniece Williams,,10,u,1
345,The Jones Girls,,1,u,1
346,Ray Charles,,113,v,9
347,Ali Farka TourÃ©,,5,v,0
348,Big Joe Williams,,10,v,0
349,John Lee Hooker,,62,v,0
350,Lightnin' Hopkins,,35,v,0
351,Compay Segundo,,12,v,7
352,Pablo MilanÃ©s,,2,v,7
353,Vicente FernÃ¡ndez,,4,v,7
354,Alicia Villarreal,,0,u,7
355,Luis Miguel,,11,u,7
356,Alejandro FernÃ¡ndez,,4,u,7
357,Alejandro Sanz,,1,u,7
358,Vassar Clements,,11,u,5
359,Alison Krauss & Union Station,,0,u,5
360,Ralph Stanley,,20,v,5
361,J.D. Crowe & the New South,,5,u,5
362,Steve Howe,,3,v,0
363,Brian May,,3,u,0
364,Jimmy Page,,14,u,0
365,George Harrison,,13,u,0
366,Rick Nielsen,,2,u,0
367,The Shadows,,22,l,0
368,Joe Satriani,,8,u,0
369,Smokey Robinson,,84,u,9
370,Pete Townshend,,9,V,0
371,Jaco Pastorius,,8,u,6
372,Tony Levin,,2,u,6
373,Jack Bruce,,13,u,0
374,The Five Satins,,6,u,1
375,The Delfonics,,11,u,9
376,The Five Keys,,5,u,9
377,The Impressions,,30,u,9
378,The Drifters,,47,u,9
379,Curtis Mayfield,,73,u,9
380,The Dells,,17,v,9
381,Gene Chandler,,10,u,9
382,Jerry Butler,,24,u,9
383,Brook Benton,,10,u,9
384,The Platters,,37,u,1
385,Pebbles,,2,t,1
386,Betty Wright,,15,u,1
387,Klymaxx,,2,u,1
388,Labelle,,14,u,1
389,The Supremes,,33,u,1
390,Minnie Riperton,,32,u,1
391,Atlantic Starr,,6,u,9
392,The Tams,,6,v,9
393,The Three Degrees,,5,u,1
394,Diana Ross,,52,u,1
395,Gloria Gaynor,,10,u,1
396,Sister Sledge,,9,u,1
397,New Edition,,24,u,9
398,The Pointer Sisters,,10,u,1
399,Bo Diddley,,65,A,0
400,The Trashmen,,5,d,0
401,The Champs,,2,v,0
402,Chubby Checker,,7,u,0
403,The Rivingtons,,1,u,1
404,The Kingsmen,,15,u,0
405,Blind Melon,,9,u,8
406,Papa Roach,,5,u,8
407,Kid Rock,,15,u,8
408,Fugazi,,42,u,14
409,Alice in Chains,,44,u,8
410,The Cult,,10,u,8
411,Sex Pistols,,153,u,14
412,Heart,,19,u,3
413,Misfits,,27,u,8
414,Ronnie Milsap,,13,l,5
415,T. Graham Brown,,0,u,5
416,Tower of Power,,7,u,9
417,Sharon Jones & the Dap-Kings,,1,u,1
418,The Mar-Keys,,7,u,9
419,Ike & Tina Turner,,19,u,1
420,James Brown,,154,l,9
421,Barbara Lynn,,3,u,1
422,Carla Thomas,,11,u,1
423,Fontella Bass,,6,u,1
424,Otis Redding,,99,l,9
425,The Memphis Horns,,6,u,9
426,Candi Staton,,7,u,1
427,Gladys Knight & the Pips,,4,v,1
428,Steve Cropper,,4,u,0
429,Irma Thomas,,15,u,1
430,Lyn Collins,,2,v,1
431,Etta James,,37,u,1
432,Was (Not Was),,5,u,1
433,Otis Clay,,6,u,9
434,The Mamas & the Papas,,16,u,1
435,Spanky & Our Gang,,2,u,1
436,The Four Freshmen,,12,v,1
437,The New Christy Minstrels,,8,u,3
438,Herman's Hermits,,14,u,0
439,The Flaming Lips,,30,u,2
440,Sparklehorse,,7,h,2
441,Galaxie 500,,13,u,2
442,R.E.M.,,85,u,2
443,The Replacements,,58,u,14
444,Guided by Voices,,21,u,2
445,The Boo Radleys,,7,u,2
446,Pavement,,31,u,2
447,Cracker,,6,u,2
448,Mojave 3,,9,u,3
449,Alkaline Trio,,8,e,14
450,Senses Fail,,0,u,14
451,Saves the Day,,10,h,14
452,Dag Nasty,,8,v,14
453,Youth of Today,,4,u,14
454,Cro-Mags,,6,u,8
455,Jawbreaker,,26,d,14
456,The Promise Ring,,16,u,14
457,Jawbox,,19,u,14
458,Sparta,,0,u,14
459,U2,,81,u,2
460,Government Issue,,4,u,14
461,Sheena Easton,,9,t,1
462,Patty Smyth,,7,u,1
463,Jody Watley,,12,u,1
464,Take That,,17,u,9
465,M People,,4,t,2
466,Howard Jones,,9,u,2
467,Leif Garrett,,7,u,1
468,Wham!,,16,u,9
469,Samantha Fox,,5,t,1
470,Lisa Stansfield,,6,u,1
471,Rick Astley,,3,t,9
472,New Kids on the Block,,21,t,9
473,The Partridge Family,,13,u,1
474,Ace of Base,,17,t,1
475,George Michael,,22,u,9
476,The Velvelettes,,4,u,1
477,Kylie Minogue,,18,t,1
478,Shalamar,,9,u,1
479,Menudo,,11,u,7
480,Sparks,,20,u,2
481,Jacques Brel,,25,u,2
482,Scott Walker,,30,u,2
483,The Stylistics,,12,u,9
484,Tracey Thorn,,1,u,1
485,Young Marble Giants,,12,u,2
486,SHeDAISY,,0,u,5
487,Jo Dee Messina,,7,u,5
488,Shania Twain,,20,u,5
489,Faith Hill,,17,u,5
490,Dixie Chicks,,19,u,5
491,Deana Carter,,6,u,5
492,Joni Mitchell,,116,u,3
493,Lorrie Morgan,,13,u,5
494,McBride & the Ride,,1,u,5
495,Martina McBride,,16,u,5
496,Mindy McCready,,3,u,5
497,Trisha Yearwood,,12,u,5
498,Terri Clark,,4,u,5
499,Sarah McLachlan,,18,h,3
500,Mary Chapin Carpenter,,9,u,3
501,Static-X,,1,u,8
502,Fear Factory,,13,a,8
503,Filter,,4,u,8
504,Ministry,,26,u,8
505,White Zombie,,12,u,8
506,Shed Seven,,0,u,2
507,Oasis,,24,u,2
508,The Stone Roses,,27,u,2
509,Slam Stewart,,2,v,6
510,Charles Mingus,,26,u,6
511,Erskine Hawkins,,7,v,6
512,Lennie Tristano,,8,v,6
513,Thelonious Monk,,51,v,6
514,Milt Hinton,,5,v,6
515,Buddy Collette,,2,u,6
516,Amos Milburn,,12,v,9
517,Taproot,,0,u,8
518,Candlebox,,13,u,8
519,Slipknot,,8,u,8
520,Creed,,22,u,8
521,Deftones,,33,u,8
522,Spineshank,,0,u,8
523,Traffic,,23,u,0
524,Spin Doctors,,11,u,9
525,Ten Years After,,9,u,0
526,Steve Miller Band,,2,u,9
527,The Band,,82,j,0
528,Bob Weir,,11,j,3
529,Bootsy Collins,,17,u,9
530,Edgar Winter,,10,u,0
531,War,,14,u,9
532,Jorma Kaukonen,,6,u,0
533,Van Morrison,,63,A,9
534,Little Feat,,24,u,0
535,Quicksilver Messenger Service,,10,j,0
536,The Allman Brothers Band,,53,u,0
537,Graham Central Station,,10,u,9
538,Chic,,37,u,9
539,Spandau Ballet,,7,u,2
540,Be Bop Deluxe,,17,u,2
541,Gary Numan,,46,u,2
542,Japan,,14,u,2
543,Sam Cooke,,128,v,9
544,David Bowie,,238,l,2
545,Brian Eno,,135,u,2
546,David Essex,,11,u,0
547,Ultravox,,30,u,2
548,Roxy Music,,103,l,2
549,Bad Religion,,35,u,14
550,All,,7,u,14
551,Generation X,,11,u,14
552,Redd Kross,,2,u,14
553,Tracy Bonham,,1,m,3
554,Pat Benatar,,17,u,3
555,Liz Phair,,13,t,3
556,Hole,,12,m,2
557,Tori Amos,,23,u,3
558,Travis Tritt,,16,u,5
559,Tracy Byrd,,0,u,5
560,Keith Whitley,,21,u,5
561,Ricky Van Shelton,,11,u,5
562,Vince Gill,,29,u,5
563,Johnny Paycheck,,16,u,5
564,Sammy Kershaw,,2,u,5
565,Randy Travis,,35,u,5
566,Brooks & Dunn,,14,u,5
567,Alan Jackson,,27,u,5
568,Clint Black,,23,u,5
569,Garth Brooks,,38,u,5
570,George Strait,,47,u,5
571,Teena Marie,,19,u,1
572,Tara Kemp,,0,u,1
573,Ferlin Husky,,4,v,5
574,Sheb Wooley,,1,v,5
575,Grant Lee Buffalo,,10,u,5
576,Palace,,0,u,5
577,Sonny Landreth,,6,u,0
578,Tab Benoit,,0,u,0
579,"Clarence ""Gatemouth"" Brown",,13,v,0
580,Dr. John,,16,l,9
581,Professor Longhair,,18,v,9
582,Albert Collins,,15,u,0
583,Albert King,,36,u,0
584,Stevie Ray Vaughan,,16,u,0
585,Buddy Guy,,40,u,0
586,American Head Charge,,0,u,8
587,Keith Jarrett,,13,u,6
588,Bob Dorough,,5,u,6
589,Horace Silver,,32,v,6
590,Stan Kenton,,24,v,6
591,Jay & the Americans,,1,u,3
592,Mose Allison,,20,A,9
593,Petula Clark,,21,u,1
594,Olivia Newton-John,,9,u,1
595,Anne Murray,,12,u,5
596,Helen Reddy,,1,u,1
597,Linda Ronstadt,,31,u,5
598,Stevie Nicks,,19,u,3
599,Kenny Burrell,,13,u,6
600,Stanley Jordan,,3,u,6
601,Carlos Santana,,4,v,0
602,Gabor Szabo,,3,u,6
603,George Benson,,20,K,6
604,Wes Montgomery,,25,u,6
605,Roy Buchanan,,3,u,0
606,All-4-One,,4,u,9
607,Bell Biv DeVoe,,14,u,9
608,Take 6,,2,u,9
609,Little Anthony & the Imperials,,11,u,1
610,The Tymes,,1,v,9
611,Guy,,19,u,9
612,The Chi-Lites,,7,u,9
613,Keith Sweat,,25,u,9
614,"Hank Williams, Jr.",,28,u,5
615,Trace Adkins,,4,u,5
616,Waylon Jennings,,50,u,5
617,Ricky Skaggs,,18,u,5
618,Merle Haggard,,100,u,5
619,Mickey Gilley,,7,u,5
620,Daryle Singletary,,2,u,5
621,Dwight Yoakam,,17,u,5
622,John Mayall,,28,u,0
623,The Rascals,,9,u,9
624,Georgie Fame,,14,A,9
625,Yusef Lateef,,5,u,6
626,The Byrds,,158,u,2
627,The Animals,,39,d,0
628,Them,,14,d,0
629,Taylor Dayne,,1,t,1
630,Sister Carol,,0,u,13
631,Marcia Griffiths,,7,u,1
632,Everclear,,12,u,14
633,American Hi-Fi,,0,u,14
634,Tadd Dameron,,6,v,6
635,Stanley Turrentine,,7,u,6
636,Sonny Rollins,,29,u,6
637,Gene Ammons,,8,u,6
638,Don Byas,,15,u,6
639,Lowell Fulson,,2,v,6
640,Illinois Jacquet,,11,v,6
641,The Blues Brothers,,2,u,9
642,Cheech & Chong,,7,u,4
643,Twisted Sister,,14,u,8
644,Def Leppard,,28,u,8
645,Scorpions,,19,u,8
646,Status Quo,,9,l,8
647,The Rutles,,3,u,0
648,Stealers Wheel,,1,u,0
649,Soul Coughing,,8,u,2
650,TV on the Radio,,0,u,2
651,The Fall,,31,A,2
652,Frank Black,,15,u,2
653,Dinosaur Jr.,,35,u,2
654,Joy Division,,84,u,2
655,Public Image Ltd.,,28,u,2
656,Jan Hammer,,3,u,9
657,Peter Gabriel,,44,u,2
658,Thee Oh Sees,,2,u,0
659,The J.B.'s,,17,l,9
660,Stanton Moore,,0,u,6
661,Idris Muhammad,,1,u,6
662,Marcus Miller,,5,u,6
663,Jimmy Smith,,20,v,6
664,Patrick O'Hearn,,0,u,2
665,Kitaro,,6,u,6
666,Edgar Froese,,3,u,2
667,Harold Budd,,12,u,2
668,Rick Wakeman,,9,u,2
669,Mannheim Steamroller,,9,u,6
670,Liz Story,,2,u,6
671,Vangelis,,13,u,6
672,Gordon Lightfoot,,13,u,3
673,Stan Rogers,,1,u,3
674,Tom Paxton,,24,u,3
675,Patsy Cline,,50,u,5
676,Bobby Darin,,20,u,1
677,Eagles,,42,u,5
678,David Allan Coe,,17,u,5
679,Glen Campbell,,22,u,5
680,The Collins Kids,,5,u,0
681,Wanda Jackson,,19,u,5
682,Melba Montgomery,,6,u,5
683,Brenda Lee,,22,u,5
684,George Jones,,77,v,5
685,Paul Simon,,50,u,3
686,Shawn Colvin,,11,u,3
687,Bonnie Raitt,,29,u,3
688,Chris Smither,,2,u,3
689,Carly Simon,,17,u,3
690,Dusty Springfield,,32,u,1
691,Dan Fogelberg,,8,u,3
692,Carole King,,54,l,3
693,Fleetwood Mac,,47,u,3
694,Don Henley,,12,u,3
695,James Taylor,,53,u,3
696,Judee Sill,,8,u,3
697,Rosanne Cash,,10,u,5
698,Judy Collins,,16,u,3
699,Richard Thompson,,11,u,3
700,Rickie Lee Jones,,16,h,3
701,Willis Alan Ramsey,,5,u,5
702,The Roches,,8,u,3
703,John Hiatt,,9,u,3
704,Leon Russell,,10,V,3
705,Kate & Anna McGarrigle,,12,u,3
706,Dave Mason,,12,u,3
707,Solomon Burke,,26,Y,9
708,Wilson Pickett,,38,l,9
709,The Isley Brothers,,46,l,9
710,Booker T. Jones,,15,u,9
711,Lee Dorsey,,14,v,9
712,Teenage Fanclub,,11,u,2
713,Travis,,6,u,2
714,Paul Weller,,13,J,9
715,Paul McCartney,,29,l,2
716,Supergrass,,7,u,2
717,Smashing Pumpkins,,30,u,8
718,The Lightning Seeds,,7,u,2
719,James,,9,u,2
720,Echo & the Bunnymen,,40,u,2
721,Ride,,18,u,2
722,Jeff Buckley,,24,u,3
723,Radiohead,,55,u,2
724,The Verve,,14,u,2
725,Feeder,,3,u,2
726,Del Amitri,,6,u,2
727,Manic Street Preachers,,7,u,2
728,Sister Rosetta Tharpe,,13,v,1
729,Muddy Waters,,113,v,0
730,Ella Mae Morse,,1,v,1
731,Shawn Mullins,,0,u,3
732,Stephen Stills,,12,u,3
733,Indigo Girls,,10,u,3
734,Kris Kristofferson,,27,u,5
735,Jim Croce,,9,u,3
736,Alan Parsons,,6,u,8
737,Starcastle,,0,u,8
738,Genesis,,37,u,8
739,Jon Anderson,,1,u,2
740,The Moody Blues,,30,u,8
741,"Emerson, Lake & Palmer",,17,u,8
742,Eddie Fisher,,4,u,1
743,Tab Hunter,,2,u,1
744,The Guess Who,,11,u,0
745,Spirit of the West,,1,u,3
746,"Crosby, Stills & Nash",,33,u,3
747,Fairport Convention,,30,u,3
748,The Clancy Brothers,,15,v,3
749,Chico O'Farrill,,2,v,6
750,Paquito D'Rivera,,2,u,6
751,Bebo ValdÃ©s,,1,v,6
752,Lee Konitz,,6,u,6
753,Oliver Nelson,,7,u,6
754,Tito Puente,,21,v,7
755,Shirley Caesar,,14,v,1
756,Tramaine Hawkins,,0,v,1
757,Kitty Wells,,33,v,5
758,The Maddox Brothers & Rose,,15,v,5
759,Red Foley,,18,v,5
760,Hank Williams,,184,v,5
761,Patti Page,,6,u,1
762,Eddy Arnold,,18,v,5
763,Roy Acuff,,50,v,5
764,Kay Starr,,7,v,1
765,Transvision Vamp,,0,u,14
766,Blondie,,62,u,2
767,The Clash,,136,j,14
768,Christy Moore,,8,u,3
769,Paul Brady,,1,u,3
770,Tommy Makem,,8,v,3
771,Trans-Siberian Orchestra,,0,u,8
772,Boston,,26,u,8
773,Enigma,,3,u,2
774,Rush,,33,u,8
775,Kansas,,8,u,8
776,Marillion,,3,u,8
777,Renaissance,,9,u,3
778,Sister Hazel,,0,u,0
779,Duran Duran,,28,u,2
780,Counting Crows,,19,u,0
781,Blues Traveler,,14,u,0
782,The Outlaws,,4,u,0
783,Styx,,20,l,8
784,Tracy Chapman,,18,u,3
785,Tasmin Archer,,0,u,3
786,Elvis Costello,,59,A,2
787,Taste,,0,u,0
788,SisqÃ³,,1,u,9
789,Blackstreet,,10,u,9
790,Bobby Brown,,30,u,9
791,Boyz II Men,,26,u,9
792,Michael Jackson,,101,l,9
793,Kenny Rogers,,19,j,5
794,Billy Joe Shaver,,18,u,5
795,Emmylou Harris,,39,u,5
796,Rodney Crowell,,14,u,5
797,David Frizzell,,6,u,5
798,Charlie Daniels,,18,u,5
799,Shaun Cassidy,,0,u,1
800,Television Personalities,,7,u,2
801,Badfinger,,27,u,2
802,The Clean,,14,u,2
803,Beat Happening,,17,u,2
804,Flamin' Groovies,,15,d,2
805,Love,,33,u,2
806,The Jesus and Mary Chain,,35,j,2
807,The Only Ones,,12,u,2
808,Orange Juice,,19,u,2
809,The Pastels,,9,u,2
810,1910 Fruitgum Company,,5,u,2
811,Moby Grape,,14,u,0
812,Wreckless Eric,,5,u,0
813,The Church,,8,u,2
814,Squeeze,,27,u,2
815,New York Dolls,,59,c,8
816,Buffalo Springfield,,37,u,2
817,Bill Withers,,33,u,9
818,Aloe Blacc,,0,u,9
819,Sevendust,,2,u,8
820,Amel Larrieux,,2,u,1
821,Anita Baker,,21,u,1
822,Tavares,,0,u,2
823,Andy Williams,,13,u,1
824,Tony Orlando,,0,u,1
825,Sweet Honey in the Rock,,4,u,3
826,Graham Nash,,8,u,3
827,Don McLean,,10,u,3
828,John Lennon,,40,l,0
829,Richie Havens,,14,J,3
