,MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,Flow Centrality,Team PlayeRank,MaxEigenvalue,Connectivity,Clustering Coefficient,Shortest-path Length
23,24,Opponent19,tie,1,1,home,Coach3,6.883620576968003,0.0605209366952221,26.084544398945475,2.627741347071998,1.9443815288606965,0.4794086865515437
24,25,Opponent10,win,2,1,home,Coach3,6.502066995681174,0.057183910183556,22.452063283995773,2.088297954322052,1.6515279075358469,0.5535332722832722
25,26,Opponent9,loss,1,5,away,Coach3,6.8284928102394495,0.0561848988074176,25.47306901798435,3.1615833614635718,1.8615969030318824,0.5402742099170671
26,27,Opponent12,win,3,1,home,Coach3,7.11793514944408,0.0587888205566328,24.051453458755837,2.0748998846432194,1.7583456995203874,0.5550456869138188
27,28,Opponent11,loss,0,1,away,Coach3,5.796458888923205,0.0521433958536503,21.11471086231284,1.2736391050030988,1.4997363728397517,0.6386643118785975
28,29,Opponent7,loss,1,2,away,Coach3,5.971153668403148,0.0,18.57313399240996,0.060213187720393,1.395084797371177,0.6187598116169544
29,30,Opponent8,win,2,0,home,Coach3,6.853969245748447,0.0524724625798334,29.96402907792796,2.012345068868493,2.3642870202491,0.4426337551337551
30,31,Opponent1,win,2,1,away,Coach3,7.999084402147765,0.0484817172381478,32.89071796810371,2.0064767334886344,2.4331407145568185,0.4940145172288029
31,32,Opponent2,loss,1,3,home,Coach3,5.904647865410665,0.0530024443403411,9.78229981407518,1.0000000000000002,0.5498057609113408,1.0194924123495552
32,33,Opponent16,tie,0,0,home,Coach3,6.3118499380604,0.0570662791279887,18.46533212348598,2.993295590536083,1.1752771014483951,0.6455128205128206
33,34,Opponent18,tie,1,1,away,Coach3,6.920457776588279,0.0505387211558495,30.245215539237737,1.2367969322979326,2.1422385368436485,0.5652036455607884
34,35,Opponent17,win,1,0,home,Coach3,6.896393427621781,0.0,34.21935347304747,0.0647306277105259,2.4401593854278496,0.480223050758765
35,36,Opponent15,win,2,0,away,Coach3,6.957078610626986,0.0510894457688034,27.657547282853344,1.4540462353569437,2.052613536177156,0.6146835460022273
36,37,Opponent13,tie,1,1,home,Coach3,6.5365951015072135,0.0551747182535198,26.912161148392777,3.333072549118887,2.2663554579639498,0.5373299319727891
37,38,Opponent14,loss,1,3,away,Coach3,7.533154926164149,0.0546165319101362,25.70889049051513,2.198085455320467,2.185416143672796,0.5977411477411478
